,Country,Sector,Industry,Length_of_Business_Summary,Currency
OSCR,United States,Healthcare,Healthcare Plans,512,USD
XPRO,United States,Energy,Oil & Gas Equipment & Services,651,USD
MKC,United States,Consumer Defensive,Packaged Foods,1482,USD
SQSP,United States,Technology,Software—Infrastructure,578,USD
SDIG,United States,Financial Services,Capital Markets,402,USD
CVLG,United States,Industrials,Trucking,1614,USD
COLB,United States,Financial Services,Banks—Regional,1497,USD
MNPR,United States,Healthcare,Biotechnology,1025,USD
MTEM,United States,Healthcare,Biotechnology,921,USD
UNM,United States,Financial Services,Insurance—Life,1052,USD
CNSP,United States,Healthcare,Biotechnology,626,USD
ABL,United States,Financial Services,Insurance—Life,803,USD
OPRX,United States,Healthcare,Health Information Services,753,USD
JOAN,,,,0,
BZH,United States,Consumer Cyclical,Residential Construction,533,USD
ATNM,United States,Healthcare,Biotechnology,1076,USD
AXTI,United States,Technology,Semiconductor Equipment & Materials,1972,USD
STX,Ireland,Technology,Computer Hardware,899,USD
SUN,United States,Energy,Oil & Gas Refining & Marketing,1255,USD
ICLR,Ireland,Healthcare,Diagnostics & Research,1576,USD
OUT,United States,Real Estate,REIT—Specialty,349,USD
RHP,United States,Real Estate,REIT—Hotel & Motel,1597,USD
MMLP,United States,Energy,Oil & Gas Midstream,1506,USD
ITRG,Canada,Basic Materials,Other Precious Metals & Mining,712,USD
NBL,,,,0,
NYT,United States,Communication Services,Publishing,1448,USD
CNQ,Canada,Energy,Oil & Gas E&P,791,USD
DRE,,,,0,
LEA,United States,Consumer Cyclical,Auto Parts,1786,USD
OLMA,United States,Healthcare,Biotechnology,1040,USD
IXHL,Australia,Healthcare,Drug Manufacturers—Specialty & Generic,2120,USD
KDNY,,,,0,
EVAX,Denmark,Healthcare,Biotechnology,671,USD
TRGP,United States,Energy,Oil & Gas Midstream,1280,USD
YUMC,China,Consumer Cyclical,Restaurants,522,USD
ASGN,United States,Technology,Information Technology Services,1114,USD
TEAM,Australia,Technology,Software—Application,1995,USD
TCON,United States,Healthcare,Biotechnology,1489,USD
IHG,United Kingdom,Consumer Cyclical,Lodging,711,USD
ASV,,,,0,
SMFR,,,,0,
AVIR,United States,Healthcare,Biotechnology,801,USD
VRA,United States,Consumer Cyclical,Footwear & Accessories,1748,USD
ATNX,,,,0,
MAMA,United States,Consumer Defensive,Packaged Foods,713,USD
SACH,United States,Real Estate,REIT—Mortgage,719,USD
BGNE,Cayman Islands,Healthcare,Biotechnology,1674,USD
SPLK,,,,0,
JONE,,,,0,
BSVN,United States,Financial Services,Banks—Regional,1133,USD
SMMF,,,,0,
TRS,United States,Consumer Cyclical,Packaging & Containers,1919,USD
PLL,United States,Basic Materials,Other Industrial Metals & Mining,612,USD
SE,Singapore,Consumer Cyclical,Internet Retail,1075,USD
OYST,,,,0,
HUBG,United States,Industrials,Integrated Freight & Logistics,1164,USD
GEV,United States,Utilities,Utilities—Renewable,887,USD
MS,United States,Financial Services,Capital Markets,1951,USD
PAYC,United States,Technology,Software—Application,2000,USD
VRME,United States,Industrials,Security & Protection Services,1384,USD
RNST,United States,Financial Services,Banks—Regional,1723,USD
LU,China,Financial Services,Credit Services,461,USD
PHAS,,,,0,USD
ORCL,United States,Technology,Software—Infrastructure,1853,USD
RGNX,United States,Healthcare,Biotechnology,1224,USD
FPRX,,,,0,
YCBD,United States,Healthcare,Drug Manufacturers—Specialty & Generic,909,USD
NVT,United Kingdom,Industrials,Electrical Equipment & Parts,1714,USD
BBY,United States,Consumer Cyclical,Specialty Retail,1690,USD
RBOT,United States,Healthcare,Medical Devices,330,USD
GNTX,United States,Consumer Cyclical,Auto Parts,1511,USD
SEE,United States,Consumer Cyclical,Packaging & Containers,1376,USD
FCN,United States,Industrials,Consulting Services,1642,USD
ANTX,United States,Healthcare,Biotechnology,1084,USD
GOLD,Canada,Basic Materials,Gold,669,USD
UBA,,,,0,
NFBK,United States,Financial Services,Banks—Regional,1463,USD
LIN,United Kingdom,Basic Materials,Specialty Chemicals,759,USD
SAIA,United States,Industrials,Trucking,751,USD
SPEC,United States,Industrials,Pollution & Treatment Controls,535,USD
VYNE,United States,Healthcare,Biotechnology,744,USD
FREY,Luxembourg,Industrials,Electrical Equipment & Parts,338,USD
WB,China,Communication Services,Internet Content & Information,1782,USD
RKDA,United States,Consumer Defensive,Packaged Foods,491,USD
GHG,China,Consumer Cyclical,Lodging,563,USD
CRME,,,,0,
SDRL,Bermuda,Energy,Oil & Gas Drilling,496,USD
PYXS,United States,Healthcare,Biotechnology,1366,USD
AQN,Canada,Utilities,Utilities—Renewable,1992,USD
IDYA,United States,Healthcare,Biotechnology,1678,USD
SGYP,,,,0,
INUV,United States,Technology,Software—Application,1104,USD
PRTA,Ireland,Healthcare,Biotechnology,1390,USD
LILM,Germany,Industrials,Aerospace & Defense,472,USD
NE,United States,Energy,Oil & Gas Drilling,376,USD
CDNA,United States,Healthcare,Diagnostics & Research,1870,USD
PEN,United States,Healthcare,Medical Devices,2000,USD
TFIN,United States,Financial Services,Banks—Regional,1136,USD
THRM,United States,Consumer Cyclical,Auto Parts,1950,USD
ASTL,Canada,Basic Materials,Steel,743,USD
SON,United States,Consumer Cyclical,Packaging & Containers,1050,USD
CEMI,,,,0,
BLCO,Canada,Healthcare,Medical Instruments & Supplies,1475,USD
LCTX,United States,Healthcare,Biotechnology,1529,USD
AIP,United States,Technology,Semiconductors,1141,USD
SYBX,United States,Healthcare,Biotechnology,1089,USD
PEGA,United States,Technology,Software—Application,1861,USD
WST,United States,Healthcare,Medical Instruments & Supplies,1788,USD
HRZN,United States,Financial Services,Asset Management,415,USD
CLRO,United States,Technology,Communication Equipment,1543,USD
MAIN,United States,Financial Services,Asset Management,2237,USD
HTGC,United States,Financial Services,Asset Management,5344,USD
BVS,United States,Healthcare,Medical Devices,1896,USD
VRS,,,,0,
HYZN,United States,Consumer Cyclical,Auto Parts,770,USD
NVST,United States,Healthcare,Medical Instruments & Supplies,1610,USD
ADMA,United States,Healthcare,Biotechnology,1044,USD
AVNT,United States,Basic Materials,Specialty Chemicals,1309,USD
FNWB,United States,Financial Services,Banks—Regional,870,USD
MGX,United States,Healthcare,Biotechnology,890,USD
SCWX,United States,Technology,Software—Infrastructure,1096,USD
NVLN,,,,0,
SHOO,United States,Consumer Cyclical,Footwear & Accessories,1659,USD
MTX,United States,Basic Materials,Specialty Chemicals,1977,USD
CRGY,United States,Energy,Oil & Gas E&P,369,USD
PAH,,,,0,
NAT,Bermuda,Industrials,Marine Shipping,257,USD
NUE,United States,Basic Materials,Steel,1988,USD
BMS,,,,0,
RLX,China,Consumer Defensive,Tobacco,286,USD
BNED,United States,Consumer Cyclical,Specialty Retail,1313,USD
PCG,United States,Utilities,Utilities—Regulated Electric,895,USD
RLMD,United States,Healthcare,Biotechnology,502,USD
RES,United States,Energy,Oil & Gas Equipment & Services,1083,USD
ELMD,United States,Healthcare,Medical Devices,1141,USD
CCLD,United States,Healthcare,Health Information Services,1964,USD
MGLN,,,,0,
ACLX,United States,Healthcare,Biotechnology,1143,USD
VTSI,United States,Technology,Software—Application,1678,USD
BIOX,Argentina,Basic Materials,Agricultural Inputs,946,USD
AIRS,United States,Healthcare,Medical Care Facilities,1092,USD
FGEN,United States,Healthcare,Biotechnology,880,USD
MRCC,United States,Financial Services,Asset Management,574,USD
W,United States,Consumer Cyclical,Internet Retail,526,USD
APM,United Kingdom,Healthcare,Biotechnology,1659,USD
MNTK,United States,Utilities,Utilities—Diversified,783,USD
AAP,United States,Consumer Cyclical,Specialty Retail,1913,USD
EXEL,United States,Healthcare,Biotechnology,1958,USD
SWM,,,,0,
MP,United States,Basic Materials,Other Industrial Metals & Mining,446,USD
DNUT,United States,Consumer Defensive,Grocery Stores,1012,USD
SHAK,United States,Consumer Cyclical,Restaurants,320,USD
HAYW,United States,Industrials,Electrical Equipment & Parts,646,USD
SXC,United States,Basic Materials,Coking Coal,533,USD
PPC,United States,Consumer Defensive,Packaged Foods,1716,USD
BSIG,United States,Financial Services,Asset Management,604,USD
OB,United States,Communication Services,Internet Content & Information,1559,USD
NDAQ,United States,Financial Services,Financial Data & Stock Exchanges,1877,USD
APRN,,,,0,
YY,Singapore,Communication Services,Internet Content & Information,1483,USD
BCOV,United States,Technology,Software—Application,1544,USD
GMDA,Israel,Healthcare,Biotechnology,653,USD
CTMX,United States,Healthcare,Biotechnology,1502,USD
AMR,United States,Basic Materials,Coking Coal,510,USD
MTDR,United States,Energy,Oil & Gas E&P,1177,USD
ARTL,United States,Healthcare,Biotechnology,987,USD
CTAS,United States,Industrials,Specialty Business Services,936,USD
AGYS,United States,Technology,Software—Application,1951,USD
STML,,,,0,
DB,Germany,Financial Services,Banks—Regional,1654,USD
AXE,,,,0,
TISA,,,,0,
WRLD,United States,Financial Services,Credit Services,624,USD
SRAX,United States,Communication Services,Advertising Agencies,724,USD
SECO,China,Consumer Cyclical,Internet Retail,786,USD
ODD,Israel,Technology,Software—Infrastructure,770,USD
SHG,South Korea,Financial Services,Banks—Regional,2152,USD
ACC,,,,0,
ADIL,United States,Healthcare,Biotechnology,516,USD
PFMT,United States,Industrials,Specialty Business Services,957,USD
SMMT,United States,Healthcare,Biotechnology,795,USD
CATY,United States,Financial Services,Banks—Regional,1117,USD
NETS,,,,0,
RSVR,United States,Communication Services,Entertainment,518,USD
CAI,,,,0,
KPTI,United States,Healthcare,Biotechnology,1867,USD
TMO,United States,Healthcare,Diagnostics & Research,1964,USD
TCFC,,,,0,
FC,United States,Consumer Defensive,Education & Training Services,988,USD
BB,Canada,Technology,Software—Infrastructure,1649,USD
WINT,United States,Healthcare,Biotechnology,1902,USD
PBFX,,,,0,
CFG,United States,Financial Services,Banks—Regional,1504,USD
FTR,,,,0,
BY,United States,Financial Services,Banks—Regional,1418,USD
RJF,United States,Financial Services,Capital Markets,1873,USD
HBI,United States,Consumer Cyclical,Apparel Manufacturing,1205,USD
TCAP,,,,0,
AMZN,United States,Consumer Cyclical,Internet Retail,1317,USD
OTTR,United States,Utilities,Utilities—Diversified,1655,USD
SLS,United States,Healthcare,Biotechnology,1005,USD
RESI,,,,459,USD
DAC,Greece,Industrials,Marine Shipping,581,USD
AUTO,,,,0,
STRO,United States,Healthcare,Biotechnology,1742,USD
ARKO,United States,Consumer Cyclical,Specialty Retail,530,USD
COEP,United States,Healthcare,Biotechnology,1634,USD
CNTA,United Kingdom,Healthcare,Biotechnology,1023,USD
JSPR,United States,Healthcare,Biotechnology,932,USD
CHL,,,,0,
CS,,,,0,
RPAY,United States,Technology,Software—Infrastructure,1157,USD
MURA,Ireland,Healthcare,Biotechnology,604,USD
SIBN,United States,Healthcare,Medical Devices,962,USD
CLPT,United States,Healthcare,Medical Devices,960,USD
VST,United States,Utilities,Utilities—Independent Power Producers,934,USD
WKHS,United States,Consumer Cyclical,Auto Manufacturers,404,USD
SYY,United States,Consumer Defensive,Food Distribution,1145,USD
HUN,United States,Basic Materials,Chemicals,1595,USD
AKTS,United States,Technology,Communication Equipment,757,USD
GOEV,United States,Consumer Cyclical,Auto Manufacturers,1268,USD
ROCK,United States,Industrials,Building Products & Equipment,1858,USD
JAKK,United States,Consumer Cyclical,Leisure,1505,USD
PRSS,,,,0,
AMAG,,,,0,
FHTX,United States,Healthcare,Biotechnology,1165,USD
IMCC,Israel,Healthcare,Drug Manufacturers—Specialty & Generic,372,USD
HOPE,United States,Financial Services,Banks—Regional,1198,USD
DECK,United States,Consumer Cyclical,Footwear & Accessories,968,USD
NMR,Japan,Financial Services,Capital Markets,1461,USD
OMGA,United States,Healthcare,Biotechnology,1035,USD
OMAM,,,,0,
NFE,United States,Utilities,Utilities—Regulated Gas,1122,USD
ESP,United States,Industrials,Electrical Equipment & Parts,1381,USD
CRM,United States,Technology,Software—Application,1964,USD
SREV,,,,0,
AMCX,United States,Communication Services,Entertainment,1099,USD
DSGX,Canada,Technology,Software—Application,1571,USD
FRTA,,,,0,
FANH,China,Financial Services,Insurance Brokers,1795,USD
SMFL,United States,Consumer Defensive,Packaged Foods,1057,USD
RDVT,United States,Technology,Software—Application,1294,USD
LULU,Canada,Consumer Cyclical,Apparel Retail,1063,USD
CMMB,Israel,Healthcare,Biotechnology,493,USD
TMHC,United States,Consumer Cyclical,Residential Construction,843,USD
SPIR,United States,Industrials,Specialty Business Services,787,USD
GPI,United States,Consumer Cyclical,Auto & Truck Dealerships,434,USD
CPT,United States,Real Estate,REIT—Residential,873,USD
BON,China,Consumer Defensive,Packaged Foods,726,USD
WH,United States,Consumer Cyclical,Lodging,916,USD
MIRO,,,,0,
SGFY,,,,0,
VYGR,United States,Healthcare,Biotechnology,1188,USD
CFX,,,,0,
FELE,United States,Industrials,Specialty Industrial Machinery,1772,USD
MSA,United States,Industrials,Security & Protection Services,1317,USD
SPPI,,,,0,
APEI,United States,Consumer Defensive,Education & Training Services,982,USD
NVTR,,,,0,
ASUR,United States,Technology,Software—Application,1761,USD
NRIM,United States,Financial Services,Banks—Regional,1845,USD
NUS,United States,Consumer Defensive,Household & Personal Products,872,USD
TDOC,United States,Healthcare,Health Information Services,1079,USD
LOMA,Argentina,Basic Materials,Building Materials,930,USD
LQDA,United States,Healthcare,Biotechnology,798,USD
NAMS,Netherlands,Healthcare,Biotechnology,574,USD
DSPG,,,,0,
TBLT,United States,Industrials,Tools & Accessories,992,USD
UGI,United States,Utilities,Utilities—Regulated Gas,1784,USD
BKKT,United States,Technology,Software—Infrastructure,851,USD
AMG,United States,Financial Services,Asset Management,1416,USD
ASX,Taiwan,Technology,Semiconductors,768,USD
HHRS,,,,0,
CCE,,,,0,
CINR,,,,0,
IMDZ,,,,0,
CDEV,,,,0,
VIRC,United States,Consumer Cyclical,"Furnishings, Fixtures & Appliances",1556,USD
ADAG,China,Healthcare,Biotechnology,1331,USD
COFS,United States,Financial Services,Banks—Regional,940,USD
VIV,Brazil,Communication Services,Telecom Services,1556,USD
CRC,United States,Energy,Oil & Gas E&P,628,USD
BLK,United States,Financial Services,Asset Management,2386,USD
ITT,United States,Industrials,Specialty Industrial Machinery,1997,USD
MNRO,United States,Consumer Cyclical,Auto Parts,814,USD
FLXN,,,,0,
GTXI,,,,0,
CRCM,,,,0,
IRCP,,,,0,
WHLR,United States,Real Estate,REIT—Retail,285,USD
TREC,,,,0,
DIOD,United States,Technology,Semiconductors,1896,USD
MIGI,United States,Financial Services,Capital Markets,363,USD
WTW,United Kingdom,Financial Services,Insurance Brokers,1893,USD
CCOI,United States,Communication Services,Telecom Services,1525,USD
BCBP,United States,Financial Services,Banks—Regional,925,USD
SHEN,United States,Communication Services,Telecom Services,1012,USD
TSS,,,,0,
K,United States,Consumer Defensive,Packaged Foods,1350,USD
HOS,,,,0,
TIL,United States,Healthcare,Biotechnology,383,USD
CHD,United States,Consumer Defensive,Household & Personal Products,1994,USD
SLGC,,,,0,
ANEB,United States,Healthcare,Biotechnology,482,USD
FPH,United States,Real Estate,Real Estate—Development,782,USD
NVR,United States,Consumer Cyclical,Residential Construction,1060,USD
FCNCA,United States,Financial Services,Banks—Regional,948,USD
LFST,United States,Healthcare,Medical Care Facilities,824,USD
GGG,United States,Industrials,Specialty Industrial Machinery,1996,USD
MYE,United States,Consumer Cyclical,Packaging & Containers,1667,USD
FIXX,,,,0,
EVEX,United States,Industrials,Aerospace & Defense,534,USD
MA,United States,Financial Services,Credit Services,1988,USD
IOTS,,,,0,
ALSN,United States,Consumer Cyclical,Auto Parts,1533,USD
TBLA,United States,Communication Services,Internet Content & Information,440,USD
CSRA,,,,0,
LNCE,,,,0,
RTN,,,,0,
CHUY,United States,Consumer Cyclical,Restaurants,206,USD
SANW,United States,Consumer Defensive,Farm Products,342,USD
RGC,Hong Kong,Healthcare,Drug Manufacturers—Specialty & Generic,456,USD
OR,Canada,Basic Materials,Gold,684,USD
WHR,United States,Consumer Cyclical,"Furnishings, Fixtures & Appliances",981,USD
HCC,United States,Basic Materials,Coking Coal,474,USD
AROW,United States,Financial Services,Banks—Regional,1746,USD
SYRS,United States,Healthcare,Biotechnology,869,USD
MDV,United States,Real Estate,REIT—Diversified,315,USD
CARR,United States,Industrials,Building Products & Equipment,1893,USD
CLOV,United States,Healthcare,Healthcare Plans,475,USD
HBNC,United States,Financial Services,Banks—Regional,984,USD
PTR,,,,0,
VNOM,United States,Energy,Oil & Gas Midstream,461,USD
NBSE,United States,Healthcare,Biotechnology,634,USD
CAJ,,,,0,
OC,United States,Industrials,Building Products & Equipment,1791,USD
CELU,United States,Healthcare,Biotechnology,1733,USD
FBRX,United States,Healthcare,Biotechnology,298,USD
KALV,United States,Healthcare,Biotechnology,719,USD
TAX,,,,0,
UPST,United States,Financial Services,Credit Services,439,USD
VERO,Canada,Healthcare,Medical Devices,1618,USD
ZVSA,United States,Healthcare,Biotechnology,854,USD
ELLO,Israel,Utilities,Utilities—Renewable,1433,USD
